 Date__(UT)__HR:MN     R.A._____(ICRF)_____DEC             delta      deldot  1-way_down_LT
*******************************************************************************************
$$SOE
 2014-May-06 00:00     15 36 33.59 -20 06 59.8  0.00981020036347   0.0614487     0.08158895
 2014-May-07 00:00     15 41 08.36 -20 36 28.6  0.00984601803994   0.0625133     0.08188684
 2014-May-08 00:00     15 45 42.65 -21 05 10.9  0.00988232005084   0.0631224     0.08218875
 2014-May-09 00:00     15 50 16.47 -21 33 06.5  0.00991883718195   0.0632548     0.08249245
 2014-May-10 00:00     15 54 49.77 -22 00 15.0  0.00995529951488   0.0629751     0.08279570
 2014-May-11 00:00     15 59 22.50 -22 26 36.3  0.00999144191969   0.0620993     0.08309629
 2014-May-12 00:00     16 03 54.42 -22 52 10.2  0.01002692884919   0.0607059     0.08339142
 2014-May-13 00:00     16 08 25.32 -23 16 56.6  0.01006146490417   0.0588111     0.08367865
 2014-May-14 00:00     16 12 54.85 -23 40 55.6  0.01009477234589   0.0564627     0.08395566
 2014-May-15 00:00     16 17 22.60 -24 04 07.1  0.01012661241142   0.0537477     0.08422047
 2014-May-16 00:00     16 21 48.11 -24 26 31.4  0.01015681014411   0.0508016     0.08447161
 2014-May-17 00:00     16 26 10.83 -24 48 08.6  0.01018527380997   0.0477689     0.08470834
 2014-May-18 00:00     16 30 30.24 -25 08 58.6  0.01021200415781   0.0448274     0.08493065
 2014-May-19 00:00     16 34 45.79 -25 29 01.7  0.01023710127893   0.0421379     0.08513938
 2014-May-20 00:00     16 38 57.03 -25 48 17.9  0.01026075073037   0.0398330     0.08533606
 2014-May-21 00:00     16 43 03.59 -26 06 47.2  0.01028320384975   0.0380076     0.08552280
 2014-May-22 00:00     16 47 05.21 -26 24 29.7  0.01030475496514   0.0367149     0.08570203
 2014-May-23 00:00     16 51 01.79 -26 41 25.4  0.01032571760959   0.0359689     0.08587637
 2014-May-24 00:00     16 54 53.25 -26 57 34.4  0.01034633537680   0.0354298     0.08604785
 2014-May-25 00:00     16 58 39.72 -27 12 56.7  0.01036687816475   0.0357550     0.08621870
 2014-May-26 00:00     17 02 21.52 -27 27 32.5  0.01038771840248   0.0364736     0.08639202
 2014-May-27 00:00     17 05 58.95 -27 41 21.7  0.01040904525030   0.0374240     0.08656939
 2014-May-28 00:00     17 09 32.09 -27 54 20.9  0.01043096235263   0.0384840     0.08675167
 2014-May-29 00:00     17 13 01.27 -28 06 29.6  0.01045354191887   0.0397178     0.08693946
 2014-May-30 00:00     17 16 27.33 -28 17 53.2  0.01047684042155   0.0409579     0.08713322
 2014-May-31 00:00     17 19 50.71 -28 28 32.2  0.01050083519575   0.0421151     0.08733278
 2014-Jun-01 00:00     17 23 11.83 -28 38 27.3  0.01052545562643   0.0431128     0.08753755
 2014-Jun-02 00:00     17 26 31.07 -28 47 39.0  0.01055059047339   0.0438868     0.08774659
 2014-Jun-03 00:00     17 29 48.78 -28 56 07.9  0.01057612956038   0.0444704     0.08795899
 2014-Jun-04 00:00     17 33 05.26 -29 03 55.0  0.01060188098473   0.0446490     0.08817316
 2014-Jun-05 00:00     17 36 20.76 -29 11 01.5  0.01062763247626   0.0444640     0.08838732
